Tenor,Issue Date,Maturity Date,Announced Amount(EGP Mio),Submitted Amount(EGP Mio),Accepted amount(EGP Mio),Fixed Rate (%)
7,15/01/2013,22/01/2013,"4,651","7,498","7,498",9.75
7,22/01/2013,29/01/2013,"5,998","7,758","7,758",9.75
7,29/01/2013,05/02/2013,34,47,47,9.7
7,29/01/2013,05/02/2013,"4,966","6,924","6,924",9.75
7,05/02/2013,12/02/2013,"6,001","7,836","7,836",9.75
7,12/02/2013,19/02/2013,"2,944","4,685","4,685",9.75
7,19/02/2013,26/02/2013,"2,825","3,798","3,798",9.75
7,26/02/2013,05/03/2013,"2,000","3,063","3,063",9.75
7,05/03/2013,12/03/2013,"3,001","4,110","4,110",9.75
7,12/03/2013,19/03/2013,"2,000","2,446","2,446",9.75
7,19/03/2013,26/03/2013,"2,905","3,170","3,170",9.75
7,26/03/2013,02/04/2013,"2,000","2,878","2,878",10.25
7,11/06/2013,18/06/2013,"5,001","7,226","7,226",10.25
7,18/06/2013,25/06/2013,"8,000","13,230","13,230",10.25
7,25/06/2013,02/07/2013,"15,999","24,459","24,459",10.25
7,02/07/2013,09/07/2013,"14,999","23,689","23,689",10.25
7,09/07/2013,16/07/2013,"18,000","25,699","25,699",10.25
8,16/07/2013,24/07/2013,"10,001","14,457","14,457",10.25
6,24/07/2013,30/07/2013,"8,000","11,683","11,683",10.25
7,30/07/2013,06/08/2013,"3,000","1,374","1,374",10.25
7,31/07/2013,08/06/2013,"1,374,000,000","1,374,000,000","1,374,000,000",10.25
