Date,Maturity Date,Benchmark,Amount of Submitted Bids (EGP Mio),Amount of Accepted Bids (EGP Mio),Spread (%)
30/07/2026,30/09/2026,Mid Corridor Rate,"318,000","318,000",0.300
16/07/2026,17/09/2026,Mid Corridor Rate,"150,000","150,000",0.300
