Date,Auction Number,Total Amount for the Auction,Weighted Average Rate for the Auction
14/04/2013,1,600,6.8720
22/05/2013,2,800,6.9720
04/09/2013,3,"1,300",6.8952
27/01/2014,4,"1,500",6.9518
14/05/2014,5,"1,100",7.0950
06/03/2016,6,498,7.7301
14/03/2016,7,198,8.8500
15/03/2016,8,196,8.8500
16/03/2016,9,"1,205",8.7800
