Issue Date,Tenor (days),Maturity Date,Announced Amount(EGP Mio),Submitted Amount(EGP Mio),Accepted amount(EGP Mio),Min. Yield (%),Max. Yield (%),Weighted Avg. Yield (%)
08/08/2007,259,23/04/2008,"2,000",875,585,9.2,9.3,9.278
08/08/2007,329,02/07/2008,"2,000",898,698,9.3,9.36,9.338
07/08/2007,7,14/08/2007,"10,000","11,988","10,000",8.81,8.87,8.845
06/08/2007,163,16/01/2008,"2,000","1,743","1,694",9.05,9.2,9.143
06/08/2007,331,02/07/2008,"2,000","1,670","1,575",9.29,9.36,9.34
01/08/2007,98,07/11/2007,"2,000","2,478","1,128",8.94,9.05,9.003
01/08/2007,280,07/05/2008,"2,000","2,138",653,9.27,9.3,9.288
01/08/2007,336,02/07/2008,"2,000","2,174","1,019",9.31,9.36,9.345
31/07/2007,7,07/08/2007,"10,000","14,151","10,000",8.79,8.87,8.834
26/07/2007,104,07/11/2007,"1,500","2,205","1,500",8.92,9.1,9.029
26/07/2007,328,18/06/2008,"1,500","1,860","1,155",9.32,9.37,9.353
25/07/2007,133,05/12/2007,"2,000","3,453","2,000",9.05,9.15,9.118
25/07/2007,287,07/05/2008,"2,000","2,361","1,826",9.25,9.35,9.319
25/07/2007,329,18/06/2008,"2,000","3,051",460,9.3,9.37,9.337
24/07/2007,7,31/07/2007,"10,000","15,827","10,000",8.79,8.87,8.837
18/07/2007,28,15/08/2007,"2,000","5,930","2,000",8.88,8.95,8.916
18/07/2007,126,21/11/2007,"3,000","4,490","3,000",9,9.19,9.131
18/07/2007,294,07/05/2008,"3,000","4,290","2,835",9.15,9.37,9.304
17/07/2007,7,24/07/2007,"10,000","19,126","10,000",8.8,8.93,8.873
11/07/2007,287,23/04/2008,"3,000","3,725","2,000",9.24,9.37,9.327
10/07/2007,7,17/07/2007,"10,000","10,321","9,991",8.79,8.99,8.873
08/07/2007,276,09/04/2008,"3,000","5,180","3,000",9.2,9.35,9.279
04/07/2007,35,08/08/2007,"2,500","2,531","1,516",8.9,9.08,8.979
04/07/2007,280,09/04/2008,"2,500","7,800","2,500",9.18,9.395,9.323
03/07/2007,7,10/07/2007,"10,000","16,030","10,000",8.79,8.9,8.84
27/06/2007,42,08/08/2007,"2,500","1,480","1,250",8.98,9.08,9.04
27/06/2007,63,29/08/2007,"2,500","1,760","1,510",8.9,9.12,9.049
26/06/2007,7,03/07/2007,"10,000","9,903","9,903",8.79,9,8.819
20/06/2007,35,25/07/2007,"3,000","3,338","3,000",8.8,9.08,8.968
20/06/2007,63,22/08/2007,"3,000","6,768","3,000",8.85,9,8.986
19/06/2007,7,26/06/2007,"10,000","13,506","10,000",8.79,8.84,8.803
13/06/2007,28,11/07/2007,"3,000","3,266","3,000",8.88,9.09,8.956
13/06/2007,56,08/08/2007,"3,500","4,683","2,500",8.95,9.1,9.049
12/06/2007,7,19/06/2007,"10,000","14,830","10,000",8.78,8.899,8.848
06/06/2007,21,27/06/2007,"2,500","2,131","1,456",8.95,9.05,9
06/06/2007,70,15/08/2007,"2,500","4,869","2,141",9.09,9.2,9.157
05/06/2007,7,12/06/2007,"10,000","8,602","8,602",8.79,9,8.85
30/05/2007,14,13/06/2007,"3,000","5,502","3,000",8.89,8.92,8.901
29/05/2007,7,05/06/2007,"10,000","14,203","10,000",8.75,8.92,8.872
23/05/2007,28,20/06/2007,"1,500","3,746","1,500",8.92,9.1,9.023
22/05/2007,7,29/05/2007,"10,000","12,935","10,000",8.875,8.98,8.951
15/05/2007,7,22/05/2007,"10,000","8,935","8,240",8.79,9,8.902
09/05/2007,182,07/11/2007,"1,000","2,766","1,000",9.625,9.85,9.773
09/05/2007,280,13/02/2008,"2,000","4,120","2,000",9.74,9.9,9.813
08/05/2007,7,15/05/2007,"10,000","10,551","8,981",8.74,9,8.88
06/05/2007,185,07/11/2007,"3,000","1,095","1,095",9.8,9.98,9.859
02/05/2007,6,08/05/2007,"10,000","4,888","4,068",8.75,9,8.885
02/05/2007,280,06/02/2008,"2,500","2,167","1,912",9.85,10,9.933
26/04/2007,195,07/11/2007,"2,500","1,227","1,027",9.84,10,9.912
26/04/2007,286,06/02/2008,"2,500","1,545","1,320",9.94,10.09,9.997
24/04/2007,183,24/10/2007,"2,000","1,775","1,775",9.35,10,9.84
24/04/2007,281,30/01/2008,"2,000","2,874","2,000",9.8,10.09,10.016
22/04/2007,185,24/10/2007,"1,500","1,120",670,9.8,10,9.95
22/04/2007,227,05/12/2007,"1,500","2,715","1,500",9.85,10.1,10.03
18/04/2007,189,24/10/2007,"1,500","2,685","1,500",10,10.1,10.038
18/04/2007,245,19/12/2007,"1,500","4,077","1,500",10.15,10.33,10.26
15/04/2007,192,24/10/2007,"1,500","2,620","1,500",10.05,10.23,10.165
15/04/2007,248,19/12/2007,"1,500","3,104","1,500",10.35,10.49,10.442
11/04/2007,196,24/10/2007,"1,000","4,065","1,000",10.25,10.28,10.271
11/04/2007,280,16/01/2008,"3,000","3,525","3,000",10.48,10.6,10.548
04/04/2007,147,29/08/2007,"1,000","2,383","1,000",10.24,10.38,10.317
04/04/2007,273,02/01/2008,"1,305","1,305","1,305",10.48,10.6,10.556
02/04/2007,275,02/01/2008,"1,500","3,203","1,500",10.55,10.61,10.589
28/03/2007,140,15/08/2007,"2,000","3,605","2,000",10.3,10.45,10.401
28/03/2007,280,02/01/2008,"4,000","3,280","1,465",10.5,10.65,10.619
14/03/2007,140,01/08/2007,"2,300","2,445","2,300",10.3,10.5,10.436
14/03/2007,280,19/12/2007,"3,000","3,415","3,000",10.45,10.7,10.612
05/03/2007,135,18/07/2007,"2,000","2,415","2,000",10.35,10.5,10.423
05/03/2007,275,05/12/2007,"2,000","2,175","1,555",10.6,10.7,10.673
28/02/2007,70,09/05/2007,"3,000","4,301","3,000",10.1,10.33,10.252
28/02/2007,140,18/07/2007,"3,800","3,370","2,900",10.2,10.5,10.405
28/02/2007,280,05/12/2007,"4,000","3,069","1,921",10.4,10.7,10.648
21/02/2007,147,18/07/2007,"5,000","4,430","3,593",10.3,10.55,10.481
21/02/2007,273,21/11/2007,"2,500","2,315","1,770",10.45,10.73,10.658
19/02/2007,51,11/04/2007,"4,000","4,605","3,630",10,10.44,10.312
14/02/2007,140,04/07/2007,"3,500","3,546","2,956",10.4,10.6,10.539
14/02/2007,280,21/11/2007,"8,000","2,940","1,960",10.05,10.75,10.6
07/02/2007,5,12/02/2007,"7,500","5,635","5,550",9,9.69,9.364
07/02/2007,49,28/03/2007,"2,000","1,672","1,372",9.95,10.49,10.319
07/02/2007,133,20/06/2007,"2,000","1,603","1,303",10.15,10.6,10.434
01/02/2007,55,28/03/2007,"5,200",750,750,10.1,10.39,10.315
01/02/2007,139,20/06/2007,"1,700",235,205,10.2,10.549,10.446
31/01/2007,56,28/03/2007,"5,000","2,790","2,660",10,10.35,10.158
31/01/2007,140,20/06/2007,"5,800","1,665","1,615",10.14,10.55,10.376
